id,clientId,claimType,claimAmount,submissionDate,claimStatus,claimProbability,fraudLikelihoodScore,isFraudFlagged,supportingDocuments
CL0031,C019,Employment Dispute,30613.97,2023-09-25,Pending,72,75,False,"['CL0031_1_doc.pdf', 'CL0031_2_doc.pdf']"
CL0032,C020,Debt Collection,32222.97,2024-05-24,Rejected,16,68,False,['CL0032_1_doc.pdf']
CL0033,C020,Medical Malpractice,28463.79,2024-05-10,Pending,85,37,False,"['CL0033_1_doc.pdf', 'CL0033_2_doc.pdf']"
CL0034,C020,Employment Dispute,47706.62,2023-08-19,Rejected,46,35,False,['CL0034_1_doc.pdf']
CL0035,C020,Commercial Dispute,49933.24,2023-07-08,Approved,29,52,False,[]
CL0036,C021,Personal Injury,49108.06,2024-02-19,Approved,5,36,False,[]
CL0037,C021,Personal Injury,32507.49,2024-04-22,Pending,61,8,False,[]
CL0038,C022,Medical Malpractice,20400.43,2024-05-09,Pending,33,76,False,['CL0038_1_doc.pdf']
CL0039,C022,Commercial Dispute,4033.61,2024-03-21,Pending,15,4,False,['CL0039_1_doc.pdf']
CL0040,C023,Debt Collection,25242.79,2023-10-15,Pending,45,16,False,[]
CL0041,C023,Medical Malpractice,4268.47,2023-11-28,Rejected,26,14,False,[]
CL0042,C023,Motor Vehicle Accident,36700.77,2023-08-21,Rejected,52,14,False,[]
CL0043,C023,Personal Injury,19312.66,2023-12-08,Approved,15,47,False,"['CL0043_1_doc.pdf', 'CL0043_2_doc.pdf', 'CL0043_3_doc.pdf']"
CL0044,C024,Medical Malpractice,4702.28,2023-08-23,Rejected,89,14,True,"['CL0044_1_doc.pdf', 'CL0044_2_doc.pdf']"
CL0045,C024,Commercial Dispute,12602.41,2024-03-28,Pending,63,55,False,['CL0045_1_doc.pdf']
CL0046,C024,Commercial Dispute,39243.43,2023-08-18,Pending,53,39,False,"['CL0046_1_doc.pdf', 'CL0046_2_doc.pdf', 'CL0046_3_doc.pdf']"
CL0047,C025,Debt Collection,42481.2,2023-11-04,Approved,9,12,False,"['CL0047_1_doc.pdf', 'CL0047_2_doc.pdf']"
CL0048,C026,Commercial Dispute,29596.62,2023-09-30,Pending,29,28,False,"['CL0048_1_doc.pdf', 'CL0048_2_doc.pdf', 'CL0048_3_doc.pdf']"
CL0049,C026,Debt Collection,26182.41,2024-03-18,Approved,97,27,False,['CL0049_1_doc.pdf']
CL0050,C026,Employment Dispute,28786.56,2023-07-08,Rejected,86,65,False,"['CL0050_1_doc.pdf', 'CL0050_2_doc.pdf', 'CL0050_3_doc.pdf']"
CL0051,C026,Medical Malpractice,4822.06,2023-12-21,Pending,82,91,False,"['CL0051_1_doc.pdf', 'CL0051_2_doc.pdf']"
CL0052,C027,Medical Malpractice,45983.52,2023-08-03,Rejected,82,40,False,"['CL0052_1_doc.pdf', 'CL0052_2_doc.pdf', 'CL0052_3_doc.pdf']"
CL0053,C028,Commercial Dispute,46614.2,2023-10-17,Pending,16,89,False,[]
CL0054,C028,Commercial Dispute,48897.33,2023-12-21,Rejected,19,45,False,"['CL0054_1_doc.pdf', 'CL0054_2_doc.pdf']"
CL0055,C028,Family Law,43683.78,2024-04-14,Approved,82,99,False,[]
CL0056,C028,Employment Dispute,44375.02,2024-04-17,Pending,43,70,False,"['CL0056_1_doc.pdf', 'CL0056_2_doc.pdf']"
CL0057,C029,Motor Vehicle Accident,5327.06,2023-08-22,Rejected,49,41,False,['CL0057_1_doc.pdf']
CL0058,C029,Employment Dispute,14220.49,2023-08-24,Approved,90,27,False,[]
CL0059,C029,Employment Dispute,46855.63,2023-09-21,Pending,94,66,False,"['CL0059_1_doc.pdf', 'CL0059_2_doc.pdf', 'CL0059_3_doc.pdf']"
CL0060,C030,Property Damage,5325.87,2023-11-24,Pending,52,43,False,[]
CL0061,C030,Commercial Dispute,40647.0,2023-09-19,Pending,39,34,False,[]
CL0062,C031,Employment Dispute,2285.49,2024-03-07,Approved,55,92,True,"['CL0062_1_doc.pdf', 'CL0062_2_doc.pdf', 'CL0062_3_doc.pdf']"
CL0063,C031,Employment Dispute,9903.84,2023-11-28,Rejected,10,39,False,"['CL0063_1_doc.pdf', 'CL0063_2_doc.pdf']"
CL0064,C031,Family Law,39088.66,2023-06-09,Pending,56,95,False,"['CL0064_1_doc.pdf', 'CL0064_2_doc.pdf']"
CL0065,C032,Property Damage,19930.53,2024-03-05,Pending,74,54,False,[]
CL0066,C032,Motor Vehicle Accident,37119.79,2024-03-29,Pending,32,22,False,"['CL0066_1_doc.pdf', 'CL0066_2_doc.pdf']"
CL0067,C032,Personal Injury,11659.55,2024-04-21,Approved,88,8,False,"['CL0067_1_doc.pdf', 'CL0067_2_doc.pdf', 'CL0067_3_doc.pdf']"
CL0068,C033,Medical Malpractice,22261.79,2024-05-30,Approved,84,88,False,[]
CL0069,C033,Family Law,36915.53,2023-08-27,Rejected,37,64,False,[]
CL0070,C033,Property Damage,49984.97,2023-11-12,Pending,92,5,False,['CL0070_1_doc.pdf']
CL0071,C034,Personal Injury,43622.71,2023-08-15,Approved,13,99,False,"['CL0071_1_doc.pdf', 'CL0071_2_doc.pdf']"
CL0072,C034,Personal Injury,11225.67,2024-04-14,Approved,47,64,False,['CL0072_1_doc.pdf']
CL0073,C034,Employment Dispute,43471.36,2024-05-22,Rejected,97,51,False,"['CL0073_1_doc.pdf', 'CL0073_2_doc.pdf']"
CL0074,C034,Employment Dispute,3974.24,2023-10-01,Rejected,58,64,False,"['CL0074_1_doc.pdf', 'CL0074_2_doc.pdf']"
CL0075,C035,Personal Injury,10318.76,2023-09-27,Pending,58,55,False,"['CL0075_1_doc.pdf', 'CL0075_2_doc.pdf']"
CL0076,C035,Family Law,34937.79,2023-08-08,Rejected,33,98,False,['CL0076_1_doc.pdf']
CL0077,C036,Motor Vehicle Accident,38213.2,2023-08-08,Approved,83,2,False,[]
CL0078,C038,Medical Malpractice,5324.18,2023-07-30,Pending,28,11,False,[]
CL0079,C038,Personal Injury,22364.8,2024-05-05,Pending,24,45,False,"['CL0079_1_doc.pdf', 'CL0079_2_doc.pdf', 'CL0079_3_doc.pdf']"
CL0080,C038,Property Damage,45122.16,2023-09-14,Pending,28,9,False,[]
CL0081,C038,Personal Injury,46112.5,2023-08-23,Pending,39,92,False,['CL0081_1_doc.pdf']
CL0082,C039,Family Law,858.84,2023-06-15,Pending,7,2,False,[]
CL0083,C039,Medical Malpractice,25599.5,2024-02-24,Approved,38,16,False,"['CL0083_1_doc.pdf', 'CL0083_2_doc.pdf']"
CL0084,C040,Debt Collection,2648.44,2024-01-25,Pending,35,24,False,['CL0084_1_doc.pdf']
CL0085,C043,Personal Injury,17918.61,2023-12-16,Approved,12,97,False,"['CL0085_1_doc.pdf', 'CL0085_2_doc.pdf']"
CL0086,C043,Property Damage,46586.5,2023-09-22,Approved,11,15,False,[]
CL0087,C044,Personal Injury,5711.39,2023-10-19,Pending,62,88,False,"['CL0087_1_doc.pdf', 'CL0087_2_doc.pdf']"
CL0088,C044,Employment Dispute,16930.92,2023-09-01,Pending,6,29,True,[]
CL0089,C044,Medical Malpractice,28580.15,2023-08-26,Pending,14,37,False,[]
CL0090,C045,Personal Injury,6873.48,2023-09-19,Approved,66,74,False,[]
CL0091,C045,Employment Dispute,39978.46,2023-07-30,Approved,86,47,False,[]
CL0092,C045,Medical Malpractice,409.0,2023-09-07,Rejected,74,12,False,['CL0092_1_doc.pdf']
CL0093,C045,Medical Malpractice,12092.06,2024-02-21,Approved,94,36,False,"['CL0093_1_doc.pdf', 'CL0093_2_doc.pdf']"
CL0094,C046,Family Law,28951.45,2023-07-12,Rejected,28,63,True,"['CL0094_1_doc.pdf', 'CL0094_2_doc.pdf']"
CL0095,C046,Employment Dispute,17695.69,2023-07-05,Pending,65,52,False,['CL0095_1_doc.pdf']
CL0096,C047,Motor Vehicle Accident,8192.54,2023-09-15,Approved,45,58,True,"['CL0096_1_doc.pdf', 'CL0096_2_doc.pdf']"
CL0097,C047,Motor Vehicle Accident,40172.56,2023-08-17,Pending,29,12,True,"['CL0097_1_doc.pdf', 'CL0097_2_doc.pdf']"
CL0098,C048,Employment Dispute,10729.32,2024-04-17,Pending,4,47,False,"['CL0098_1_doc.pdf', 'CL0098_2_doc.pdf', 'CL0098_3_doc.pdf']"
CL0099,C048,Motor Vehicle Accident,14369.38,2023-08-14,Approved,7,46,False,[]
CL0100,C048,Medical Malpractice,3231.85,2023-12-23,Rejected,85,57,False,"['CL0100_1_doc.pdf', 'CL0100_2_doc.pdf']"
CL0101,C048,Medical Malpractice,24431.6,2023-11-29,Approved,63,22,False,['CL0101_1_doc.pdf']
CL0102,C049,Property Damage,10296.94,2024-04-27,Rejected,72,81,False,[]
CL0103,C051,Debt Collection,32541.57,2024-03-12,Rejected,3,93,False,"['CL0103_1_doc.pdf', 'CL0103_2_doc.pdf']"
CL0104,C051,Property Damage,5478.89,2024-04-15,Approved,61,80,False,"['CL0104_1_doc.pdf', 'CL0104_2_doc.pdf']"
CL0105,C052,Personal Injury,29803.4,2023-07-15,Rejected,61,19,False,"['CL0105_1_doc.pdf', 'CL0105_2_doc.pdf']"
CL0106,C052,Motor Vehicle Accident,3118.01,2024-04-09,Rejected,59,20,False,['CL0106_1_doc.pdf']
CL0107,C052,Medical Malpractice,10987.45,2024-04-12,Pending,29,4,False,"['CL0107_1_doc.pdf', 'CL0107_2_doc.pdf', 'CL0107_3_doc.pdf']"
CL0108,C053,Employment Dispute,32747.42,2024-01-26,Pending,78,47,False,[]
CL0109,C053,Medical Malpractice,32685.6,2024-02-09,Pending,54,39,False,"['CL0109_1_doc.pdf', 'CL0109_2_doc.pdf']"
CL0110,C053,Property Damage,26444.81,2023-10-30,Approved,14,63,False,[]
CL0111,C053,Debt Collection,33406.92,2023-08-16,Pending,44,40,False,['CL0111_1_doc.pdf']
CL0112,C054,Family Law,30510.47,2024-01-07,Approved,36,36,False,['CL0112_1_doc.pdf']
CL0113,C054,Motor Vehicle Accident,29345.19,2023-07-08,Rejected,79,31,True,"['CL0113_1_doc.pdf', 'CL0113_2_doc.pdf']"
CL0114,C054,Medical Malpractice,37047.41,2023-08-31,Pending,57,4,False,['CL0114_1_doc.pdf']
CL0115,C054,Debt Collection,1318.03,2023-08-27,Approved,26,76,False,"['CL0115_1_doc.pdf', 'CL0115_2_doc.pdf']"
CL0116,C055,Employment Dispute,883.44,2023-09-20,Approved,51,73,False,"['CL0116_1_doc.pdf', 'CL0116_2_doc.pdf']"
CL0117,C055,Employment Dispute,16464.07,2023-08-22,Pending,9,64,False,['CL0117_1_doc.pdf']
CL0118,C055,Motor Vehicle Accident,34436.71,2024-04-13,Approved,98,99,False,"['CL0118_1_doc.pdf', 'CL0118_2_doc.pdf']"
CL0119,C056,Property Damage,37748.61,2024-01-10,Rejected,74,43,False,"['CL0119_1_doc.pdf', 'CL0119_2_doc.pdf']"
CL0120,C058,Medical Malpractice,21133.81,2023-11-03,Rejected,27,13,True,"['CL0120_1_doc.pdf', 'CL0120_2_doc.pdf']"
CL0121,C058,Employment Dispute,13908.84,2024-01-12,Approved,83,60,False,"['CL0121_1_doc.pdf', 'CL0121_2_doc.pdf']"
CL0122,C060,Medical Malpractice,21881.22,2023-07-15,Pending,55,34,False,[]
CL0123,C060,Employment Dispute,16920.93,2024-03-30,Rejected,39,49,False,"['CL0123_1_doc.pdf', 'CL0123_2_doc.pdf']"
CL0124,C060,Family Law,39730.95,2023-12-19,Pending,88,59,False,[]
CL0125,C060,Employment Dispute,4707.88,2023-09-27,Approved,93,0,False,[]
CL0126,C061,Employment Dispute,13108.13,2023-10-02,Pending,57,83,False,['CL0126_1_doc.pdf']
CL0127,C063,Commercial Dispute,20374.04,2023-06-02,Rejected,28,97,False,[]
CL0128,C063,Motor Vehicle Accident,33380.38,2024-01-24,Approved,42,0,False,[]
CL0129,C063,Debt Collection,3159.67,2024-01-21,Pending,85,52,False,['CL0129_1_doc.pdf']
CL0130,C064,Commercial Dispute,47345.17,2024-03-17,Approved,100,59,True,"['CL0130_1_doc.pdf', 'CL0130_2_doc.pdf']"
CL0131,C064,Medical Malpractice,7044.1,2024-05-10,Approved,2,59,False,"['CL0131_1_doc.pdf', 'CL0131_2_doc.pdf']"
CL0132,C065,Personal Injury,14428.09,2023-10-26,Approved,9,61,False,"['CL0132_1_doc.pdf', 'CL0132_2_doc.pdf', 'CL0132_3_doc.pdf']"
CL0133,C065,Family Law,9866.28,2024-05-04,Approved,98,28,False,[]
CL0134,C065,Motor Vehicle Accident,47712.6,2024-04-06,Approved,94,16,False,[]
CL0135,C066,Property Damage,34301.78,2023-07-11,Rejected,78,64,False,"['CL0135_1_doc.pdf', 'CL0135_2_doc.pdf']"
CL0136,C066,Property Damage,11588.7,2023-10-27,Pending,45,66,False,[]
CL0137,C066,Property Damage,20949.23,2024-02-07,Approved,12,51,False,"['CL0137_1_doc.pdf', 'CL0137_2_doc.pdf']"
CL0138,C067,Motor Vehicle Accident,5430.57,2023-09-23,Rejected,79,54,False,"['CL0138_1_doc.pdf', 'CL0138_2_doc.pdf']"
CL0139,C067,Property Damage,25913.88,2024-01-10,Approved,52,33,False,[]
CL0140,C068,Debt Collection,2160.56,2023-07-16,Rejected,86,9,False,"['CL0140_1_doc.pdf', 'CL0140_2_doc.pdf']"
CL0141,C068,Medical Malpractice,22971.12,2023-12-16,Rejected,96,40,False,['CL0141_1_doc.pdf']
CL0142,C069,Property Damage,37016.02,2023-10-29,Approved,90,67,True,['CL0142_1_doc.pdf']
CL0143,C069,Motor Vehicle Accident,6913.76,2024-01-23,Approved,17,37,False,"['CL0143_1_doc.pdf', 'CL0143_2_doc.pdf']"
CL0144,C069,Property Damage,25733.82,2023-06-24,Approved,63,93,False,"['CL0144_1_doc.pdf', 'CL0144_2_doc.pdf', 'CL0144_3_doc.pdf']"
CL0145,C070,Personal Injury,43674.02,2023-11-14,Rejected,48,57,False,[]
CL0146,C071,Motor Vehicle Accident,46998.29,2024-05-06,Pending,98,60,False,[]
CL0147,C071,Motor Vehicle Accident,22041.58,2024-02-03,Pending,8,35,False,['CL0147_1_doc.pdf']
CL0148,C071,Motor Vehicle Accident,1661.21,2024-04-07,Rejected,87,71,False,[]
CL0149,C072,Property Damage,39962.28,2024-03-06,Rejected,33,68,True,['CL0149_1_doc.pdf']
CL0150,C072,Motor Vehicle Accident,21765.02,2024-01-29,Approved,64,91,False,[]
CL0151,C073,Commercial Dispute,36386.45,2023-09-30,Pending,46,61,False,"['CL0151_1_doc.pdf', 'CL0151_2_doc.pdf', 'CL0151_3_doc.pdf']"
CL0152,C073,Family Law,23561.51,2024-05-31,Approved,37,24,False,['CL0152_1_doc.pdf']
CL0153,C073,Family Law,1151.37,2023-11-17,Approved,95,10,False,"['CL0153_1_doc.pdf', 'CL0153_2_doc.pdf', 'CL0153_3_doc.pdf']"
CL0154,C073,Medical Malpractice,39809.13,2024-02-24,Rejected,85,68,False,"['CL0154_1_doc.pdf', 'CL0154_2_doc.pdf']"
CL0155,C074,Motor Vehicle Accident,28222.03,2023-07-22,Rejected,4,17,False,['CL0155_1_doc.pdf']
CL0156,C074,Personal Injury,12452.2,2023-07-14,Approved,39,15,False,[]
CL0157,C074,Medical Malpractice,35660.57,2024-01-17,Pending,45,23,False,"['CL0157_1_doc.pdf', 'CL0157_2_doc.pdf', 'CL0157_3_doc.pdf']"
CL0158,C074,Employment Dispute,9562.75,2024-01-22,Pending,4,26,False,"['CL0158_1_doc.pdf', 'CL0158_2_doc.pdf']"
CL0159,C075,Debt Collection,35399.13,2023-09-05,Pending,7,34,False,['CL0159_1_doc.pdf']
CL0160,C075,Medical Malpractice,34478.37,2024-02-09,Approved,2,7,False,"['CL0160_1_doc.pdf', 'CL0160_2_doc.pdf']"
CL0161,C075,Personal Injury,33927.77,2024-04-12,Pending,65,13,False,"['CL0161_1_doc.pdf', 'CL0161_2_doc.pdf', 'CL0161_3_doc.pdf']"
CL0162,C076,Medical Malpractice,4981.4,2024-01-27,Approved,14,18,False,[]
CL0163,C076,Personal Injury,41759.74,2023-10-14,Pending,12,47,False,[]
CL0164,C077,Family Law,7436.59,2023-11-17,Pending,88,33,False,['CL0164_1_doc.pdf']
CL0165,C077,Motor Vehicle Accident,36774.97,2024-04-23,Pending,49,78,False,[]
CL0166,C077,Commercial Dispute,12120.14,2023-10-02,Pending,42,73,False,[]
CL0167,C078,Medical Malpractice,41212.39,2023-08-16,Pending,52,79,True,"['CL0167_1_doc.pdf', 'CL0167_2_doc.pdf', 'CL0167_3_doc.pdf']"
CL0168,C078,Family Law,24440.73,2024-03-25,Approved,14,33,False,"['CL0168_1_doc.pdf', 'CL0168_2_doc.pdf', 'CL0168_3_doc.pdf']"
CL0169,C078,Debt Collection,29041.45,2023-12-14,Approved,12,76,False,"['CL0169_1_doc.pdf', 'CL0169_2_doc.pdf', 'CL0169_3_doc.pdf']"
CL0170,C079,Property Damage,5524.04,2023-07-18,Rejected,99,95,False,['CL0170_1_doc.pdf']
CL0171,C079,Family Law,16323.76,2023-09-20,Pending,88,73,False,"['CL0171_1_doc.pdf', 'CL0171_2_doc.pdf', 'CL0171_3_doc.pdf']"
CL0172,C079,Family Law,23944.36,2023-07-13,Approved,22,77,False,"['CL0172_1_doc.pdf', 'CL0172_2_doc.pdf']"
CL0173,C079,Family Law,33528.32,2024-02-25,Pending,24,45,False,"['CL0173_1_doc.pdf', 'CL0173_2_doc.pdf', 'CL0173_3_doc.pdf']"
CL0174,C080,Property Damage,34543.6,2023-06-04,Approved,94,7,False,"['CL0174_1_doc.pdf', 'CL0174_2_doc.pdf', 'CL0174_3_doc.pdf']"
CL0175,C080,Commercial Dispute,44870.29,2024-05-11,Pending,88,55,False,"['CL0175_1_doc.pdf', 'CL0175_2_doc.pdf', 'CL0175_3_doc.pdf']"
CL0176,C082,Family Law,11523.48,2023-06-05,Rejected,59,39,False,['CL0176_1_doc.pdf']
CL0177,C082,Debt Collection,12796.43,2024-02-15,Approved,97,84,False,"['CL0177_1_doc.pdf', 'CL0177_2_doc.pdf', 'CL0177_3_doc.pdf']"
CL0178,C082,Personal Injury,6045.15,2023-11-17,Approved,15,3,False,[]
CL0179,C083,Family Law,16670.58,2024-01-05,Pending,35,64,False,['CL0179_1_doc.pdf']
CL0180,C083,Property Damage,35061.75,2023-11-25,Pending,34,64,False,['CL0180_1_doc.pdf']
CL0181,C084,Personal Injury,42953.1,2023-06-01,Rejected,98,77,False,[]
CL0182,C084,Motor Vehicle Accident,855.17,2023-08-26,Approved,41,19,False,[]
CL0183,C085,Employment Dispute,32006.53,2024-04-02,Rejected,3,50,False,[]
CL0184,C085,Personal Injury,12159.76,2023-07-01,Pending,50,41,False,"['CL0184_1_doc.pdf', 'CL0184_2_doc.pdf']"
CL0185,C085,Motor Vehicle Accident,18203.74,2023-09-10,Pending,66,74,False,[]
CL0186,C086,Motor Vehicle Accident,32939.33,2023-12-26,Pending,27,64,False,"['CL0186_1_doc.pdf', 'CL0186_2_doc.pdf', 'CL0186_3_doc.pdf']"
CL0187,C086,Personal Injury,15890.94,2024-03-22,Approved,70,95,False,"['CL0187_1_doc.pdf', 'CL0187_2_doc.pdf']"
CL0188,C086,Employment Dispute,19077.25,2024-01-17,Approved,100,69,False,"['CL0188_1_doc.pdf', 'CL0188_2_doc.pdf']"
CL0189,C086,Medical Malpractice,1304.34,2024-01-24,Pending,6,1,False,"['CL0189_1_doc.pdf', 'CL0189_2_doc.pdf', 'CL0189_3_doc.pdf']"
CL0190,C087,Medical Malpractice,40224.38,2024-01-27,Rejected,72,55,False,"['CL0190_1_doc.pdf', 'CL0190_2_doc.pdf']"
CL0191,C087,Property Damage,28683.82,2024-02-13,Approved,31,37,False,[]
CL0192,C087,Employment Dispute,21409.92,2024-01-16,Approved,83,26,False,[]
CL0193,C087,Family Law,20961.89,2023-08-30,Rejected,15,80,False,"['CL0193_1_doc.pdf', 'CL0193_2_doc.pdf']"
CL0194,C088,Personal Injury,46925.9,2023-12-30,Approved,0,51,False,"['CL0194_1_doc.pdf', 'CL0194_2_doc.pdf', 'CL0194_3_doc.pdf']"
CL0195,C088,Motor Vehicle Accident,11238.38,2024-04-01,Pending,45,96,False,['CL0195_1_doc.pdf']
CL0196,C088,Property Damage,14185.27,2023-06-15,Pending,45,27,False,[]
CL0197,C090,Property Damage,30832.35,2023-08-27,Rejected,86,49,False,[]
CL0198,C090,Medical Malpractice,34705.59,2023-06-10,Rejected,3,51,False,[]
CL0199,C091,Family Law,13732.66,2024-05-22,Approved,23,26,False,"['CL0199_1_doc.pdf', 'CL0199_2_doc.pdf', 'CL0199_3_doc.pdf']"
CL0200,C091,Debt Collection,16524.39,2023-07-19,Approved,81,53,False,"['CL0200_1_doc.pdf', 'CL0200_2_doc.pdf']"
CL0201,C091,Property Damage,49059.31,2024-03-26,Rejected,6,70,False,[]
CL0202,C091,Personal Injury,2543.66,2023-07-23,Approved,61,99,False,['CL0202_1_doc.pdf']
CL0203,C092,Family Law,20082.66,2023-09-28,Rejected,66,55,True,"['CL0203_1_doc.pdf', 'CL0203_2_doc.pdf', 'CL0203_3_doc.pdf']"
CL0204,C092,Property Damage,42023.24,2024-03-30,Pending,48,9,False,"['CL0204_1_doc.pdf', 'CL0204_2_doc.pdf', 'CL0204_3_doc.pdf']"
CL0205,C092,Family Law,20263.38,2023-07-28,Approved,59,59,False,"['CL0205_1_doc.pdf', 'CL0205_2_doc.pdf', 'CL0205_3_doc.pdf']"
CL0206,C094,Motor Vehicle Accident,43761.74,2023-11-17,Approved,47,23,False,['CL0206_1_doc.pdf']
CL0207,C094,Motor Vehicle Accident,6437.21,2024-05-05,Pending,79,100,False,"['CL0207_1_doc.pdf', 'CL0207_2_doc.pdf', 'CL0207_3_doc.pdf']"
CL0208,C094,Family Law,6725.29,2023-11-15,Pending,76,88,False,[]
CL0209,C095,Personal Injury,40925.43,2023-12-10,Approved,59,64,True,['CL0209_1_doc.pdf']
CL0210,C096,Commercial Dispute,977.76,2024-04-12,Rejected,40,1,False,[]
CL0211,C097,Debt Collection,25024.77,2024-05-31,Pending,81,16,False,[]
CL0212,C097,Employment Dispute,17169.27,2023-12-07,Pending,76,64,False,[]
CL0213,C098,Medical Malpractice,15537.85,2024-04-15,Rejected,77,25,False,"['CL0213_1_doc.pdf', 'CL0213_2_doc.pdf', 'CL0213_3_doc.pdf']"
CL0214,C098,Employment Dispute,6868.76,2023-08-19,Pending,20,99,False,"['CL0214_1_doc.pdf', 'CL0214_2_doc.pdf', 'CL0214_3_doc.pdf']"
CL0215,C099,Commercial Dispute,16396.94,2023-12-16,Rejected,12,28,True,[]
CL0216,C099,Debt Collection,36053.75,2023-06-29,Approved,3,38,False,[]
CL0217,C100,Property Damage,11501.34,2023-08-29,Approved,48,48,False,"['CL0217_1_doc.pdf', 'CL0217_2_doc.pdf', 'CL0217_3_doc.pdf']"
CL0218,C100,Debt Collection,14662.34,2024-02-25,Approved,82,86,True,[]
CL0219,C100,Family Law,1137.27,2024-04-10,Rejected,94,25,False,['CL0219_1_doc.pdf']
CL0220,C101,Commercial Dispute,14230.92,2023-09-06,Approved,46,99,False,[]
CL0221,C101,Personal Injury,8458.38,2023-12-04,Rejected,97,61,False,[]
CL0222,C101,Debt Collection,36902.45,2023-07-18,Rejected,51,100,False,['CL0222_1_doc.pdf']
CL0223,C101,Debt Collection,43255.92,2024-01-28,Pending,46,66,False,[]
CL0224,C103,Medical Malpractice,46807.1,2023-10-23,Rejected,29,24,False,[]
CL0225,C103,Family Law,28785.02,2023-12-23,Pending,34,92,False,['CL0225_1_doc.pdf']
